v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;v32;v33;v34;v35;v36;v37;v38;v39;v40;v41;v42;v43;v44;v45;v46;v47;v48;v49;v50;v51;v52;v53;v54;v55;v56;v57;v58;v59;v60;v61;v62;v63;v64;v65;v66;v67;v68;v69;v70;v71;v72;v73;v74;KEY;target;v75;v76;v77;v78;v79;v80;v81;v82;v83;v84;v85;v86;v87;v88;v89;v90;v91;v92;v93;v94;v95;v96;v97;v98;v99;v100;v101;v102;v103;v104;v105;v106;v107;v108;v109;v110;v111;v112;v113;v114
2;-1;-1;1;0;0;2;0;677216;3;14;14;14;33;14;-1;-1;3;-1;338608;14;0,7301;513916;0;14;0;2;0;0;0;1;0;0;0;3;513916;73;14;3;14;0;50;1;-1;0;0;0;0;0;-1;0;0;0;14;5;100;1;660;-1;-1;S;SELECT;0;56;1;1;3;M;513916;677216;1;;50;1;4070962510;0;S;0;0;0;0;0;1;0,037205568;0;0;0;0;0,037205568;0,037205568;0;1;0;0;0;0;18,03775581;;;0;15,25526795;0;0;0;1;0;0;0;0,037205568;0;0;0,154259094;0;0,845740906;0;0
2;-1;-1;1;0;0;2;0;498499;6;12;12;12;33;12;-1;-1;1;-1;249249,5;12;0,7348;374999;0;11;0;2;0;0;0;1;0;0;0;3;374999;73;12;1;12;50;50;1;-1;0;0;0;0;0;-1;0;0;0;12;5;100;1;656;-1;-1;S;SELECT;0;65;1;1;3;M;374999;498499;3;2248,191243;50;1;4074382150;1;S;0;0;0;0;0;1;0,001310441;0;0;0;0;0,001310441;0,001310441;0;1;0;0;0;0;11,24241122;;;0;9,746653894;0;0;0;1;0;0;0;0,001310441;0;0;0,133045954;0;0,866954046;0;0
2;-1;-1;5;0;0;2;0;58600;3;22;85;96;71;22;-1;-1;1;-1;29300;85;0,1963;50000;8600;1;85;1;1;0;0;0;5;0;0;1;50000;19;85;1;85;100;100;1;-1;0;0;0;0;0;-1;-0,01;-0,01;0;85;2;88,88666667;2;653;84;94;S;PREFERENTE;0;44;0,6364;2;1;H;50000;58600;1;82,2818;20;2;605679470;0;S;0;0;0;0;0,631578947;0,368421053;0,07604728;0;0;0;0,021427959;0,012499643;0,033927602;0;0,164366732;0;0;0,835633268;0;0,878521799;;;0,275924528;0,310985931;0;0;0,631578947;0,368421053;0;0;0,021427959;0,012499643;0;0;0,941816195;0;0,058183805;0;0
5;-1;-1;0;0;0;5;0;90800;10;-1;130;130;0;-1;-1;-1;12;-1;18160;130;0,8413;23000;23000;11;90;2;3;0;0;0;0;0;0;2;23000;84;130;12;130;20;70;2;-1;0;0;0;0;0;-1;0;0;0;130;3;80;3;651;127;127;S;PREFERENTE;0;32;0,8421;3;2;M;23000;90800;2;;50;3;4077567420;0;S;0;0;0;0;0;1;0,063791907;0;0;0;0;0,063791907;0,063791907;0;1;0;0;0;0;0,832514141;;;;0,832514141;0;0;0;1;0;0;0;0,063791907;0;0;0;0;1;0;0
3;-1;-1;1;0;0;3;0;396800;8;11;53;53;25;11;-1;-1;11;-1;132266,67;53;0,43;109800;274000;11;16;1;2;0;0;1;0;0;0;2;274000;43;53;2;53;58,5;75;1;-1;0;0;0;0;0;-1;0;0;0;53;5;83,33333333;2;654;49;49;S;SELECT;0;27;0,9231;2;2;H;274000;396800;2;1059,275144;50;2;4077580990;0;S;0;0;0;0;0,052769135;0,947230865;0,044605809;0;0;0;0,002478778;0,044495241;0,04697402;0;0,997521222;0;0;0,002478778;0;0,666211146;;;0,0848;0,655077992;0;0;0,052769135;0,947230865;0;0;0,002478778;0,044495241;0;0;0,019148504;0;0,980851496;0,002478778;0
5;41;-1;1;0;1;5;0;193900;10;39;107;107;28;39;-1;41;34;-1;38780;107;0,4084;0;93600;0;107;0;5;1;0;0;1;0;0;0;93600;40;107;1;107;60;60;2;-1;0;0;0;0;0;-1;-0,01;-0,01;0;107;4;60;2;653;106;106;S;PREFERENTE;0;32;0,3125;2;0;H;93600;193900;0;;50;2;4081859450;0;S;0;0;0,578558068;0;0,095306921;0,326135011;0,048445966;0;0,025460001;0;0,004194072;0,014351883;0,044005956;0;0,296245164;0,528958179;0;0,174796657;0;0,378295351;0,36095587;;0,419013453;0,375135264;0,578558068;0;0,095306921;0,326135011;0,025460001;0;0,004194072;0,014351883;0,549737191;0;0,156492326;0;0,293770483;0;0
4;-1;-1;0;0;0;4;0;67850;2;-1;94;94;0;-1;-1;-1;14;-1;16962,5;94;0,2648;22050;27800;13;94;1;3;0;0;0;0;0;0;1;27800;26;94;14;94;87,5;100;1;-1;0;0;0;0;0;-1;0;0;0;94;1;100;1;721;89;89;S;CLASICO;0;32;0,875;1;1;H;27800;67850;0;;50;1;4088756460;0;S;0;0;0;0;0;1;0,132053422;0;0;0;0;0,132053422;0,132053422;0;1;0;0;0;0;0,255215804;;;;0,255215804;0;0;0;1;0;0;0;0,132053422;0;0;0;0;1;0;0
6;-1;-1;1;1;0;6;0;930500;8;12;159;159;12;12;-1;-1;12;-1;155083,33;135;0,3271;265000;265200;15;68;2;4;0;1;1;0;0;0;3;265200;32;135;12;135;90;100;1;-1;0;0;0;0;0;-1;0;0;0;135;5;100;1;703;132;132;S;SELECT;0;36;1;1;3;H;265200;930500;2;;50;1;4088945750;0;S;0;0;0;0;0;1;0,007102987;0;0;0;0;0,007102987;0,007102987;0;1;0;0;0;0;0,447091501;;;0;0,441824379;0;0;0;1;0;0;0;0,007102987;0;0;0,0072578;0,004523061;0,988219139;0;0
6;-1;-1;1;0;0;6;0;746995;4;-1;308;308;14;-1;-1;-1;73;-1;124499,17;308;0,1751;292015;180000;72;282;2;4;0;0;1;0;0;0;3;292015;17;308;3;308;83,5;91,5;3;-1;0;0;0;0;0;-1;0;0;0;308;5;91,5;1;690;317;317;S;ABC+;0;56;0,9286;1;3;H;292015;746995;0;3003,345867;50;1;609450780;0;S;0;0;0;0;0;1;0,009608182;0;0;0;0;0,009608182;0,009608182;0;1;0;0;0;0;0,597979706;;;0;0,375096049;0;0;0;1;0;0;0;0,009608182;0;0;0,372727794;0;0,627272206;0;0
6;-1;-1;2;2;0;6;0;234300;5;85;102;102;20;16;33;-1;20;-1;39050;102;0,5149;48000;50000;19;21;2;4;0;2;0;2;0;0;2;50000;51;102;2;102;;;;;;;;;;;;;0;102;5;;2;655;;;S;SELECT;0;49;0,85;2;2;H;50000;234300;0;;54;2;4091934485;0;S;1;0,226280652;0;0;0,48215432;0,291565028;0,036174563;0,014242827;0;0;0,030348333;0,018352034;0,062943194;0,009503299;0,891540367;0;0;0,503008166;0,011755709;1,102847461;;;0,602284492;0,595068128;0;0;0,623164357;0,376835643;0;0;0,030348333;0,018352034;0;0;0,496981296;0,021966449;0,481052254;0;0
